Student,LPIPS,SSIM
113590015.png,0.0,1.0
113370239.png,0.246006041765213,0.6774319755571825
113590031.png,0.2545207142829895,0.6457639228184271
111590047.png,0.257536917924881,0.6892274005210776
113590060.png,0.26761847734451294,0.6710581161363482
113590001.png,0.27707281708717346,0.6490865887165526
113590039.png,0.2777346968650818,0.6770597876957622
113590051.png,0.2807537317276001,0.6502341162311525
113590026.png,0.28807124495506287,0.6652450408659384
112590040.png,0.2881203591823578,0.6406283069747385
113590036.png,0.2882734537124634,0.6211599050593734
113590061.png,0.2893718481063843,0.6670300225350327
113590021.png,0.2906809151172638,0.6218769184815013
113590044.png,0.29179635643959045,0.6282985908790049
111590062.png,0.29410699009895325,0.6623061149119556
113AB0018.png,0.32449641823768616,0.5818227681383233
112590455.png,0.3250274062156677,0.6276128307040482
113590045.png,0.32965928316116333,0.5765922149572471
113590052.png,0.3341693878173828,0.6139332116685572
113590056.png,0.33575573563575745,0.6455462869237667
112590454.png,0.3366827070713043,0.5869494220151418
113590003.png,0.3449872136116028,0.6473635991673085
111590028.png,0.3451803922653198,0.6429277341054219
113590022.png,0.34639772772789,0.6201311736894048
113590062.png,0.3470045328140259,0.5996515766053236
113590002.png,0.3483154773712158,0.6395351967749779
110590455.png,0.35563191771507263,0.6343074263819897
114054809.png,0.3630225658416748,0.6565304178927909
113590018.png,0.36400362849235535,0.6227144766155749
113590047.png,0.3724221885204315,0.7096532707649164
113590006.png,0.38070937991142273,0.545241999376465
113AC1012.png,0.38243553042411804,0.6064081114749977
113590004.png,0.38387244939804077,0.7032092848681435
113590011.png,0.387851744890213,0.5826213756436678
113590050.png,0.4014533758163452,0.5677622586401113
113590059.png,0.40182846784591675,0.5350924619618113
113590010.png,0.4041078984737396,0.5865560812800164
113590057.png,0.40559834241867065,0.6150221022910569
113590023.png,0.40881413221359253,0.5318709546822745
113590043.png,0.40954557061195374,0.711510865709731
113590028.png,0.4144047498703003,0.5464622233217125
113590042.png,0.4153885543346405,0.5662780135527224
113590025.png,0.4169965386390686,0.7089367679999967
113590049.png,0.4223027229309082,0.4949507010118352
111590042.png,0.4397435188293457,0.7170439179168333
113590008.png,0.4755343198776245,0.4820760564382142
112590058.jpg,0.4855383336544037,0.43037121380146004
111590455.png,0.5093646049499512,0.5064302213597108
